epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,source_path
145,867.221,2.59985,0.96574,0.84887,0.72076,0.53858,0.62155,0.30673,2.75181,0.94769,0.82715,0.00184588,0.00184588,0.00184588,D:\OBM\CODES\AutoSEG\runs\detect\train156\results.csv
100,597.303,2.12442,0.85465,0.81474,0.53182,0.2397,0.29571,0.11684,2.16504,0.84818,0.78543,3.98e-05,3.98e-05,3.98e-05,D:\OBM\CODES\AutoSEG\runs\detect\train157\results.csv
1000,2994.82,3.34814,0.50114,0.54711,0.47747,0.23245,0.27233,0.10194,4.03308,0.60873,0.53225,9.995e-06,9.995e-06,9.995e-06,D:\OBM\CODES\AutoSEG\runs\detect\train158\results.csv
100,299.913,7.15712,3.25857,1.54379,0.01983,0.0324,0.01044,0.00231,7.58649,3.36441,1.46444,0.0001099,0.0001099,0.0001099,D:\OBM\CODES\AutoSEG\runs\detect\train159\results.csv
300,1156.8,4.9638,0.96662,0.7986,0.46838,0.20868,0.23745,0.08572,5.19241,1.01312,0.8028,1.33e-05,1.33e-05,1.33e-05,D:\OBM\CODES\AutoSEG\runs\detect\train16\results.csv
315,830.588,3.0943,0.82068,1.16754,0.57033,0.40349,0.44838,0.19366,3.31248,0.7983,1.11278,0.00388024,0.00388024,0.00388024,D:\OBM\CODES\AutoSEG\runs\detect\train160\results.csv
600,1560.24,2.11861,1.16831,0.81896,0.5482,0.23902,0.30323,0.11949,2.15381,1.21493,0.76267,0.0001165,0.0001165,0.0001165,D:\OBM\CODES\AutoSEG\runs\detect\train161\results.csv
100,281.464,5.56543,1.0153,0.81693,0.0856,0.13372,0.06265,0.01524,6.35852,1.16105,0.67249,0.000200444,0.000200444,0.000200444,D:\OBM\CODES\AutoSEG\runs\detect\train163\results.csv
300,2025.36,2.49474,0.91504,0.84002,0.69396,0.45593,0.54475,0.26359,2.80827,0.96892,0.80487,5.01357e-05,5.01357e-05,5.01357e-05,D:\OBM\CODES\AutoSEG\runs\detect\train164\results.csv
417,2430.3,1.84591,0.56538,1.06422,0.82143,0.6568,0.74831,0.38356,3.42148,0.98485,1.13822,0.00126823,0.00126823,0.00126823,D:\OBM\CODES\AutoSEG\runs\detect\train165\results.csv
431,749.791,9.48548,2.24526,0.84311,0.01892,0.03048,0.00999,0.00212,9.57355,2.38112,0.92821,0.00446819,0.00446819,0.00446819,D:\OBM\CODES\AutoSEG\runs\detect\train166\results.csv
100,484.065,8.50438,1.14085,1.77702,0.57584,0.38564,0.43979,0.18575,8.99068,1.0633,1.69059,0.0001099,0.0001099,0.0001099,D:\OBM\CODES\AutoSEG\runs\detect\train167\results.csv
100,528.623,3.23668,1.18156,0.60017,0.60604,0.38605,0.43261,0.17154,3.84463,1.27839,0.56984,0.000199,0.000199,0.000199,D:\OBM\CODES\AutoSEG\runs\detect\train168\results.csv
38,229.084,2.83261,1.03552,1.14464,0.66092,0.52499,0.58925,0.27142,2.94811,1.03484,1.12465,0.000667,0.000667,0.000667,D:\OBM\CODES\AutoSEG\runs\detect\train169\results.csv
30,58.2182,8.75335,2.16205,1.51229,0.00815,0.01098,0.00426,0.00116,9.66614,19.9297,1.48609,0.00635806,0.00085806,0.00085806,D:\OBM\CODES\AutoSEG\runs\detect\train17\results.csv
216,546.809,9.33413,1.32494,1.03789,0.01756,0.02869,0.00976,0.00229,9.43294,1.35537,0.98251,0.0040325,0.0040325,0.0040325,D:\OBM\CODES\AutoSEG\runs\detect\train170\results.csv
79,294.348,1.81196,1.10488,0.85567,0.58063,0.37891,0.4238,0.16024,2.15251,1.25796,0.83789,0.0009298,0.0009298,0.0009298,D:\OBM\CODES\AutoSEG\runs\detect\train171\results.csv
403,2266.79,2.05882,0.32478,1.08093,0.76915,0.57634,0.67835,0.37526,2.30978,0.35176,1.07789,0.000996005,0.000996005,0.000996005,D:\OBM\CODES\AutoSEG\runs\detect\train172\results.csv
144,695.195,4.17466,1.03453,0.81939,0.4509,0.21115,0.23905,0.08285,4.30149,0.9992,0.8113,0.000761905,0.000761905,0.000761905,D:\OBM\CODES\AutoSEG\runs\detect\train173\results.csv
1000,4413.64,2.10835,0.53503,2.11614,0.80197,0.59143,0.7135,0.45565,2.37516,0.58451,2.11278,2.198e-05,2.198e-05,2.198e-05,D:\OBM\CODES\AutoSEG\runs\detect\train174\results.csv
